ISBN,Title,Author,Price,Quantity
913154,The Way Things Work: An Illustrated Encyclopedia of Technology,C. van Amerongen (translator),90.99,6
1010565,Mog's Christmas,Judith Kerr,23.99,7
1046438,Liar,Stephen Fry,95.99,2
1046713,Twopence to Cross the Mersey,Helen Forrester,73.99,6
1046934,The Prime of Miss Jean Brodie,Muriel Spark,99.99,1
1047213,The Fighting Man,Gerald Seymour,19.99,7
1047647,First Among Equals,Jeffrey Archer,88.99,10
1047663,Matter Of Honour,Jeffrey Archer,59.99,9
1047868,Kidnapped,Robert Louis Stevenson,43.99,10
1047973,Brave New World,Aldous Huxley,74.99,4
1048082,Made in America,Bill Bryson,58.99,2
1048473,Nothing Can Be Better,Barns &amp; Budd,19.99,4
1049879,Daughters of the Storm,Elizabeth Buchan,63.99,3
1052039,Dark Spectre,Michael Dibdin,37.99,2
1053736,Sir Gawain and the Green Knight,J. R. R. Tolkien,49.99,2
1053744,Pearl and Sir Orfeo,J. R. R. Tolkien,54.99,10
1055607,Cereus Blooms At Night,Shani Mootoo,32.99,1
1056107,Farmer Giles of Ham: And Other Stories,J. R. R. Tolkien,17.99,6
1061127,CHESS FOR YOUNG BEGINNERS,William T. McLeod,75.99,9
1232088,Paddington in the Kitchen,Michael Bond,90.99,7
1360469,Babe Dressing,Mandy Stanley,45.99,3
1372564,Which Colour?,Sue Dreamer,52.99,7
1374362,When It's Time for Bed (Collins Baby &amp; Toddler S.),Nick Butterworth,65.99,9
1374869,Baby Plays (Collins Baby and Toddler Series),Fiona Pragoff,97.99,7
1382381,Huck Scarry's Steam Train Journey,Huck Scarry,83.99,3
1382608,On the Road,Huck Scarry,91.99,10
1711105,The Book of Riddles (Beginner Books),Bennett Cerf,2.99,10
1711253,The Big Honey Hunt,Stan Berenstein,77.99,5
1714236,Spooky Riddles,Mark Brown,12.99,6
1714600,I Want to Be Somebody New! (I Can Read It All by Myself),Robert Lopshire,38.99,8
1718126,ARE YOU MY MOTHER MINI PB (EXPORT),Seuss,85.99,9
1811150,Day Time (Step by Step),Diane Wilmer,83.99,1
1811819,Paddington and the Marmalade Maze (Paddington First Books),Michael Bond,72.99,6
1821326,Paddington at the Tower (A Paddington Picture Book),Michael Bond,76.99,6
1821504,The Adventures of Paddington,Michael Bond,95.99,6
1837397,Autumn Story Brambly Hedge,Jill Barklem,66.99,6
1840517,Bess,Robert Leeson,97.99,10
1841572,Red Shift,Alan Garner,85.99,3
1842749,The Growing Summer,Noel Streatfeild,15.99,4
1845039,The Moon of Gomrath,Alan Garner,97.99,6
1846086,There Will Be a Next Time,Tony Drake,90.99,10
1848445,THE COAL HOUSE T/PB,Andrew Taylor,24.99,3
1848461,SONG OF THE CITY CSD,Gareth Owen,59.99,6
1850121,A place called Lantern Light,Ellen Miller,79.99,8
